Filename,Is GenAI
"Arches National Park, Moab, Utah, United States - J.png",Yes
"Arches National Park, Moab, Utah, United States - P.png",No
"Ashland, Oregon, United States - S.png",No
"Ashland, Oregon, United States - Y.png",Yes
"Badlands National Park, Wall, South Dakota, United States - H.png",No
"Badlands National Park, Wall, South Dakota, United States - S.png",Yes
"Crater Lake National Park, Chiloquin, Oregon, United States - 3 - A.png",Yes
"Crater Lake National Park, Chiloquin, Oregon, United States - 3 - F.png",No
"Grand Teton National Park, Jackson, Wyoming, United States - E.png",No
"Grand Teton National Park, Jackson, Wyoming, United States - P.png",Yes
"Horseshoe Bend, Glen Canyon National Recreation Area, Marble Canyon, Arizona, United States - Q.png",No
"Horseshoe Bend, Glen Canyon National Recreation Area, Marble Canyon, Arizona, United States - V.png",Yes
"Mount Mitchell State Park, Pisgah National Forest, Burnsville, Tennessee Valley, United States - A.png",Yes
"Mount Mitchell State Park, Pisgah National Forest, Burnsville, Tennessee Valley, United States - T.png",No
"Point Woronzof Park, Anchorage, Alaska, United States - Q.png",No
"Point Woronzof Park, Anchorage, Alaska, United States - T.png",Yes
"Russian Jack Springs Park, Anchorage, Alaska, United States - H.png",Yes
"Russian Jack Springs Park, Anchorage, Alaska, United States - R.png",No
"Yellowstone National Park, Alta, Wyoming, United States - U.png",Yes
"Yellowstone National Park, Alta, Wyoming, United States - X.png",No